撞	zong6
撣	daan2
撤	cit3
撥	but6
撩	liu4
撫	fu2
撮	cyut3
撰	zyun6
撲	puk1
撳	gam6
撼	haam6
擀	gon2
擁	jung2
擇	zaak6
擊	gik1
擋	dong2
操	cu1
擎	king4
擒	kam4
擔	daam3
擔	daam1
擘	maak3
據	gyu3
擠	zai1
擡	toi4
擦	caat3
擩	jyu5
擬	ni5
擱	kok3
擲	zaak6
擴	kok3
擺	baai2
擾	jiu2
攀	paan1
攆	nen2
攏	lung5
攔	laan4
攘	joeng6
攙	caam1
攜	kwai4
攝	sip3
攢	zan2
攢	cyun4
攤	taan1
攪	geu2
攬	laam2
攮	nong2
支	zi1
收	sau1
改	goi2
攻	gung1
放	fong3
政	zing3
故	gu3
效	haau6
敏	man5
救	gau3
敗	baai6
敘	zyu6
教	geu3
敝	bai6
敢	gaam2
散	slaan3
散	slaan2
敦	dan1
敨	tau2
敬	ging3
敲	haau1
整	zing2
敵	dik6
敷	fu1
數	su3
數	su2
斂	lim5
斃	bai6
文	man4
斑	baan1
斗	dau2
料	liu6
斛	huk6
斜	ce4
斟	zam1
斤	gan1
斥	cik1
斧	fu2
斬	zem2
斯	si1
新	slan1
斷	tyun5
斷	dyun3
方	fong1
於	jyu1
施	si1
旁	pong4
旂	ki4
旅	lyu5
旋	slyun4
族	zuk6
旗	ki4
既	gi3
日	jat6
旦	daan3
旨	zi2
早	zu2
旬	can4
旱	hon5
旺	wong6
昂	ngong4
昆	kwan1
昇	sing1
昌	coeng1
明	ming4
昏	wan1
易	ji6
易	jik6
昔	slik1
星	sling1
映	jing2
春	can1
昧	mui6
昨	zok6
昭	ciu1
是	si6
時	si4
晃	fong2
晉	zan3
晌	hoeng2
晏	aan3
晒	saai3
晚	maan5
晝	zau3
晦	fui2
晨	san4
普	pu2
景	ging2
晴	cing4
晶	zing1
智	zi3
暇	haa6
暈	wan4
暈	wan1
暈	wan6
暑	syu2
暖	nyun5
暗	am3
暢	coeng3
暫	zaam6
暮	mu6
暴	bu6
曆	lik6
曉	hiu2
曏	hoeng3
曝	buk6
曠	kong3
曩	nong5
曬	saai3
曰	jyut6
曲	kuk1
更	gaang1
更	gang1
更	gang3
書	syu1
曹	cu4
曾	zang1
曾	cang4
替	tai3
最	zui3
會	wui6
會	wui5
月	jyut6
有	jau5
朋	pang4
服	fuk6
朔	slok3
朗	long5
望	mong6
朝	ziu1
朝	ciu4
期	ki4
期	gi1
木	muk6
未	mi6
末	mut6
本	bun2
札	zaat3
朮	sat6
朱	zyu1
朴	puk1
朴	piu4
朵	do2
机	gi1
朽	nau2
杆	gon2
杈	caa1
杉	caam3
杌	ngat6
李	li5
杏	hang6
材	coi4
村	cyun1
杖	zoeng6
杜	du6
杞	gi2
束	cuk1
杠	gong3
杭	hong4
杯	bui1
杰	git6
東	dung1
杳	miu5
杵	cyu5
杷	paa4
松	cung4
板	baan2
极	gik6
构	kau3
枇	pi4
枉	wong2
析	slik1
枕	zam2
枕	zam3
林	lam4
枚	mui4
果	go2
枝	zi1
枯	fu1
枴	gwaai2
枵	hiu1
架	gaa3
柄	beng3
柏	paak3
某	mau5
柑	gam1
染	jim5
柔	jau4
柚	jau2
柜	gwai6
柜	gyu2
柞	zok6
查	caa4
查	zaa1
柩	gau6
柬	gen2
柱	cyu5
柳	lau5
柴	caai4
柵	saan1
柵	caak3
柺	gwaai2
柿	sai6
栖	cai1
栗	lat6
校	haau6
校	gaau3
株	zyu1
核	hat6
核	wat6
根	gan1
格	gaak3
栽	zoi1
栿	fuk6
桂	gwai3
桃	tu4
桄	gong2
桅	ngai4
案	on3
桌	zoek3
桐	tung4
桑	slong1
桓	wun4
桶	tung2
桿	gon2
梁	loeng4
梅	mui4
梓	zi2
梔	zi1
梗	gang2
條	tiu4
梢	saau1
梧	ng4
梨	li4
梭	slo1
梯	tai1
械	haai6
梳	so1
棄	hi3
棉	min4
棋	ki4
棌	coi3
棍	gwan3
棒	bong6
棕	zung1
棗	zu2
棚	paang4
棟	dung6
棠	tong4
棧	zaan2
森	sam1
棲	cai1
棵	ko1
棹	zaau6
棺	gun1
椅	ji2
植	zik6
椏	ngaa1
椒	ziu1
椴	dyun6
椶	zung1
椽	cyun4
椿	can1
楂	zaa1
楊	joeng4
楓	fung1
楔	slit3
楚	co2
楝	lin6
楞	ling4
楣	mi4
楦	hyun3
業	nip6
極	gik6
楷	gaai1
楷	kaai2
概	koi3
榆	jyu4
榛	zan1
榜	bong2
榦	gon3
榧	fi2
榨	zaa3
榫	slan2
榮	wing4
榴	lau4
榷	kok3
榻	taap3
構	kau3
槌	cui4
槍	coeng1
槐	waai4
槓	gong3
槓	lung5
槳	zoeng2
槽	cu4
樁	zong1
樂	lok6
樂	ngok6
樂	ngaau6
樑	loeng4
樓	lau4
標	biu1
樞	syu1
樟	zoeng1
模	mo1
樣	joeng6
樵	ciu4
樸	puk1
樹	syu6
樺	waa4
橄	gaam2
橈	jiu4
橈	naau4
橋	kiu4
橘	gat1
橙	caang2
橛	kyut3
橛	gyut6
機	gi1
橡	zoeng6
橢	to5
橫	waang4
檀	taan4
檁	lam5
檐	jim4
檗	paak3
檜	kui3
檢	gim2
檯	toi4
檳	ban1
檾	king2
櫂	zaau6
櫃	gwai6
櫓	lu5
櫻	jing1
欄	laan4
權	kyun4
欖	laam2
欛	baa3
欠	him3
次	ci3
欣	jan1
欲	juk6
欺	hi1
欽	ham1
款	fun2
歇	hit3
歉	him3
歌	go1
歎	taan3
歐	au1
歡	fun1
止	zi2
正	zing1
正	zing3
此	ci2
步	bu6
武	mu5
歪	waai1
歲	slui3
歷	lik6
歸	gwai1
死	sli2
殃	joeng1
殆	doi6
殉	san4
殊	syu4
殕	fu2
殕	fau2
殕	ak1
殕	baak6
殖	zik6
殘	caan4
殭	goeng1
殮	lim6
殯	ban3
殲	cim1
段	dyun6
殷	jan1
殺	saat3
殼	hok3
殿	din6
毀	wai2
毅	ngai6
毆	au1
母	mu5
每	mui5
毒	duk6
比	bi2
毛	mu4
毫	hu4
毯	taan2
氈	zin1
氏	si6
氏	zi1
民	man4
气	hi3
氣	hi3
水	sui2
永	wing5
氾	faan3
汀	teng1
汁	zap1
求	kau4
汆	cyun1
汎	faan3
汗	hon6
汙	wu1
汝	jyu5
汞	gung3
江	gong1
池	ci4
污	wu1
汪	wong1
汴	bin6
決	kyut3
汽	hi3
沂	ji4
沃	juk1
沈	sam2
沈	cam4
沉	cam4
沌	dan6
沒	mut6
沓	daap6
沖	cung1
沙	saa1
沛	pui3
沫	mut6
河	ho4
油	jau4
治	zi6
沼	ziu2
沾	zim1
沿	jyun4
況	kong3
泄	slit3
泅	cau4
泉	cyun4
泊	bok6
泌	bi3
泔	gam1
法	faat3
泛	faan3
泡	paau1
泡	paau3
泡	pu5
波	bo1
泣	jap1
泥	nai4
泥	ni6
注	zyu3
泰	taai3
泳	wing5
洁	git3
洇	jan1
洋	joeng4
洒	slaa2
洗	slai2
洛	lok3
洞	dung6
津	zan1
洩	slit3
洪	hung4
洲	zau1
活	wut6
洼	waa1
洽	hap3
派	paai3
流	lau4
浙	zit3
浚	zan3
浚	slan3
浜	bong1
浜	ban1
浞	zok6
浦	pu2
浩	hu6
浪	long6
浮	fau4
浴	juk6
海	hoi2
浸	zam3
涂	tu4
消	sliu1
涉	sip3
涌	jung2
涌	cung1
