tʃhɛu35	ceu2
tʃhou22	cou6
tʃhau21	caau4
ɬiu55	sliu1
ʃau33	saau3
ʃau55	saau1
tʃhiu33	ciu3
ʃau35	saau2
ʃɛu33	seu3
kau55	gaau1
kau55	gaau1
kɛu55	geu1
kɛu33	geu3
kɛu55	geu1
kɛu35	geu2
kɛu35	geu2
kɛu33	geu3
kau35	gaau2
kau35	gaau2
kau33	gaau3
ŋau22	ngaau6
kau35	gaau2
hau55	haau1
kau33	gaau3
kɛu33	geu3
hɛu55	heu1
hau35	haau2
ŋɛu24	ngeu5
hau33	haau3
ŋau21	ngaau4
ŋau21	ngaau4
ŋau21	ngaau4
ŋau21	ngaau4
øau33	aau3
mɔp5	mop1
piu55	biu1
piu55	biu1
piu35	biu2
piu55	biu1
phiu55	piu1
phiu55	piu1
phiu33	piu3
phiu33	piu3
phiu33	piu3
phiu24	piu5
phiu21	piu4
phiu21	piu4
miu55	miu1
miu21	miu4
mɛu55	meu1
miu24	miu5
miu24	miu5
miu24	miu5
miu21	miu4
miu21	miu4
liu21	liu4
liu21	liu4
tʃiu55	ziu1
tʃiu55	ziu1
tʃiu55	ziu1
tʃiu35	ziu2
tʃhiu33	ciu3
tʃhiu33	ciu3
tʃhiu21	ciu4
tʃhiu21	ciu4
ɬiu55	sliu1
ɬiu55	sliu1
ɬiu55	sliu1
ɬiu55	sliu1
ɬiu55	sliu1
ɬiu55	sliu1
ɬiu35	sliu2
ɬiu33	sliu3
tʃhiu33	ciu3
tʃiu55	ziu1
tʃhiu55	ciu1
tʃhiu21	ciu4
tʃhiu21	ciu4
tʃiu21	ziu4
tʃiu21	ziu4
ʃiu21	siu4
tʃiu21	ziu4
tʃiu55	ziu1
tʃiu55	ziu1
tʃiu55	ziu1
tʃiu33	ziu3
tʃiu21	ziu4
ʃiu55	siu1
ʃiu35	siu2
ʃiu33	siu3
ʃiu21	siu4
ʃiu21	siu4
ʃiu21	siu4
hiu21	hiu4
jiu24	jiu5
jiu24	jiu5
jiu24	jiu5
jiu24	jiu5
kiu55	giu1
kiu55	giu1
kiu35	giu2
tʃhiu55	ciu1
khiu21	kiu4
khiu21	kiu4
khiu21	kiu4
khiu21	kiu4
khiu21	kiu4
khiu21	kiu4
hiu55	hiu1
jiu55	jiu1
jiu55	jiu1
jiu55	jiu1
jiu55	jiu1
jiu33	jiu3
hiu21	hiu4
hiu21	hiu4
hiu21	hiu4
hiu21	hiu4
hiu21	hiu4
hiu24	hiu5
hiu21	hiu4
